Date,Close
2/2/2015,163.6
30/1/2015,158.7
29/1/2015,158.25
28/1/2015,158.75
27/1/2015,159.4
23/1/2015,161.15
22/1/2015,158.85
21/1/2015,158
20/1/2015,156.35
19/1/2015,156.55
16/1/2015,154.3
15/1/2015,155.65
14/1/2015,154.85
13/1/2015,155.25
12/1/2015,157.35
9/1/2015,155.6
8/1/2015,153.7
7/1/2015,148.45
6/1/2015,148.15
5/1/2015,152.95
2/1/2015,152.5
1/1/2015,150.7
31/12/2014,150.95
30/12/2014,149.05
29/12/2014,148.65
26/12/2014,146.85
24/12/2014,146.9
23/12/2014,148.3
22/12/2014,147.5
19/12/2014,147.4
18/12/2014,147.5
17/12/2014,145
16/12/2014,144.25
15/12/2014,151.6
12/12/2014,152.95
11/12/2014,155.65
10/12/2014,156
9/12/2014,154.85
8/12/2014,158.3
5/12/2014,161.1
4/12/2014,163.4
3/12/2014,163.25
2/12/2014,163.35
1/12/2014,159.55
28/11/2014,161.3
27/11/2014,161
26/11/2014,155.3
25/11/2014,154.2
24/11/2014,156.95
21/11/2014,156.75
20/11/2014,156.95
19/11/2014,157.85
18/11/2014,159.4
17/11/2014,159.9
14/11/2014,155.25
13/11/2014,154.2
12/11/2014,155.85
11/11/2014,158.25
10/11/2014,157.75
7/11/2014,160.9
5/11/2014,161.65
3/11/2014,163.75
31/10/2014,160.1
30/10/2014,157.45
29/10/2014,157.3
28/10/2014,156.35
27/10/2014,156.3
23/10/2014,158.35
22/10/2014,156.5
21/10/2014,155.55
20/10/2014,154.7
17/10/2014,153.35
16/10/2014,152.35
14/10/2014,156.4
13/10/2014,157.5
10/10/2014,160.25
9/10/2014,161.25
8/10/2014,160.25
7/10/2014,158.8
1/10/2014,158.85
30/9/2014,159.35
29/9/2014,159
26/9/2014,159.65
25/9/2014,160.3
24/9/2014,164.75
23/9/2014,164.45
22/9/2014,170.6
19/9/2014,168.6
18/9/2014,164.85
17/9/2014,161.6
16/9/2014,159.45
15/9/2014,167.2
12/9/2014,169.55
11/9/2014,167.4
10/9/2014,162.55
9/9/2014,165.2
8/9/2014,164.6
5/9/2014,162.25
4/9/2014,162.2
3/9/2014,154.25
2/9/2014,155.4
1/9/2014,153.9
28/8/2014,150.5
27/8/2014,153.1
26/8/2014,152.95
25/8/2014,155.45
22/8/2014,155.45
21/8/2014,157.1
20/8/2014,158.5
19/8/2014,156.5
18/8/2014,154.4
14/8/2014,152.1
13/8/2014,151.15
12/8/2014,154.45
11/8/2014,151.9
8/8/2014,150.65
7/8/2014,154.15
6/8/2014,153.8
5/8/2014,154.9
4/8/2014,155.5
1/8/2014,154.3
31/7/2014,153.5
30/7/2014,152.9
28/7/2014,155.2
25/7/2014,153.5
